code,meta-llama/Llama-3.1-8B_max,meta-llama/Llama-3.1-8B_mean,avg
rad_Latn,0.0291,0.0091,0.0291
bqc_Latn,0.0291,0.0047,0.0291
bbj_Latn,0.0388,0.0103,0.0388
njb_Latn,0.0388,0.0085,0.0388
zas_Latn,0.0388,0.0141,0.0388
cbt_Latn,0.0194,0.0012,0.0194
cac_Latn,0.0388,0.0174,0.0388
qup_Latn,0.0485,0.0141,0.0485
kbc_Latn,0.0291,0.0059,0.0291
tbz_Latn,0.0097,0.0021,0.0097
acn_Latn,0.0291,0.0068,0.0291
lac_Latn,0.0291,0.0138,0.0291
pir_Latn,0.0291,0.0071,0.0291
gug_Latn,0.0777,0.0232,0.0777
maz_Latn,0.0194,0.0082,0.0194
knf_Latn,0.0291,0.0047,0.0291
jam_Latn,0.1748,0.0565,0.1748
zat_Latn,0.0291,0.0109,0.0291
mtj_Latn,0.0291,0.0091,0.0291
tyv_Cyrl,0.1262,0.0303,0.1262
uvl_Latn,0.0388,0.0141,0.0388
uig_Arab,0.2039,0.0703,0.2039
zpu_Latn,0.0388,0.0124,0.0388
gah_Latn,0.0097,0.0006,0.0097
hra_Latn,0.0485,0.0109,0.0485
mcr_Latn,0.0097,0.0012,0.0097
tiy_Latn,0.0485,0.0156,0.0485
cly_Latn,0.0291,0.0094,0.0291
bak_Cyrl,0.3398,0.1177,0.3398
con_Latn,0.0291,0.0088,0.0291
lif_Deva,0.0097,0.0003,0.0097
wnc_Latn,0.0097,0.0006,0.0097
min_Latn,0.165,0.0597,0.165
cul_Latn,0.0194,0.0012,0.0194
ron_Latn,0.8544,0.4798,0.8544
adh_Latn,0.0388,0.0156,0.0388
cpb_Latn,0.0388,0.0159,0.0388
ita_Latn,0.8641,0.6237,0.8641
nbq_Latn,0.0194,0.0062,0.0194
naf_Latn,0.0097,0.0029,0.0097
ksb_Latn,0.0485,0.0147,0.0485
old_Latn,0.0291,0.0144,0.0291
pis_Latn,0.1262,0.0468,0.1262
sgb_Latn,0.0485,0.0165,0.0485
cwe_Latn,0.0485,0.0191,0.0485
dwr_Latn,0.0194,0.0026,0.0194
sbl_Latn,0.0485,0.0159,0.0485
cbu_Latn,0.0097,0.0003,0.0097
emi_Latn,0.0291,0.0106,0.0291
bhp_Latn,0.0388,0.0127,0.0388
cab_Latn,0.0485,0.0106,0.0485
sxn_Latn,0.0291,0.01,0.0291
shp_Latn,0.0388,0.0138,0.0388
kki_Latn,0.0583,0.0153,0.0583
kng_Latn,0.0485,0.015,0.0485
eve_Cyrl,0.0291,0.0038,0.0291
lhi_Latn,0.0097,0.0009,0.0097
mbl_Latn,0.0,0.0,0.0
lif_Limb,0.0097,0.0015,0.0097
azz_Latn,0.0291,0.0079,0.0291
aym_Latn,0.0388,0.0129,0.0388
pag_Latn,0.0485,0.0227,0.0485
msm_Latn,0.0874,0.0162,0.0874
gdg_Latn,0.0485,0.0209,0.0485
otn_Latn,0.0291,0.0088,0.0291
zpt_Latn,0.0485,0.0162,0.0485
kia_Latn,0.0291,0.0071,0.0291
yml_Latn,0.0097,0.0032,0.0097
gai_Latn,0.0194,0.0047,0.0194
mej_Latn,0.0291,0.0091,0.0291
wap_Latn,0.0194,0.0056,0.0194
inb_Latn,0.0291,0.0106,0.0291
tuc_Latn,0.0291,0.0091,0.0291
zia_Latn,0.0291,0.0071,0.0291
ded_Latn,0.0097,0.0062,0.0097
ksc_Latn,0.0485,0.0209,0.0485
fry_Latn,0.3786,0.1271,0.3786
adi_Latn,0.0291,0.0118,0.0291
cpc_Latn,0.0388,0.0171,0.0388
mio_Latn,0.0388,0.0088,0.0388
iry_Latn,0.0485,0.0206,0.0485
roo_Latn,0.0194,0.0024,0.0194
arn_Latn,0.0388,0.0115,0.0388
ndi_Latn,0.0291,0.0056,0.0291
ces_Latn,0.8252,0.4984,0.8252
tsz_Latn,0.0291,0.0127,0.0291
bov_Latn,0.0291,0.0129,0.0291
tpm_Latn,0.0291,0.0053,0.0291
kkj_Latn,0.0291,0.0053,0.0291
aoi_Latn,0.0,0.0,0.0
nyn_Latn,0.0583,0.0188,0.0583
guk_Ethi,0.0,0.0,0.0
