code,Qwen/Qwen3-Embedding-0.6B_max,Qwen/Qwen3-Embedding-0.6B_mean,avg
bwq_Latn,0.0291,0.0067,0.0291
knj_Latn,0.0291,0.0127,0.0291
mav_Latn,0.0194,0.0064,0.0194
aji_Latn,0.0485,0.0157,0.0485
kxc_Ethi,0.0,0.0,0.0
zga_Latn,0.0291,0.01,0.0291
mkj_Latn,0.0874,0.0258,0.0874
asm_Beng,0.3883,0.0696,0.3883
sba_Latn,0.0291,0.01,0.0291
cao_Latn,0.068,0.008,0.068
pan_Guru,0.3107,0.0479,0.3107
byr_Latn,0.0097,0.0057,0.0097
adj_Latn,0.0388,0.0144,0.0388
spy_Latn,0.0097,0.0003,0.0097
pma_Latn,0.0388,0.0074,0.0388
att_Latn,0.0485,0.0174,0.0485
hmo_Latn,0.0485,0.0121,0.0485
kvn_Latn,0.0194,0.0047,0.0194
ndj_Latn,0.0194,0.0054,0.0194
mil_Latn,0.0194,0.0077,0.0194
otm_Latn,0.0291,0.009,0.0291
mcp_Latn,0.0194,0.007,0.0194
qxh_Latn,0.0485,0.0121,0.0485
pad_Latn,0.0388,0.0044,0.0388
nma_Latn,0.0194,0.004,0.0194
run_Latn,0.0291,0.0134,0.0291
nho_Latn,0.0777,0.0254,0.0777
efi_Latn,0.0583,0.0211,0.0583
bsn_Latn,0.0291,0.009,0.0291
tob_Latn,0.0485,0.0077,0.0485
lol_Latn,0.0291,0.011,0.0291
anv_Latn,0.0097,0.0027,0.0097
sil_Latn,0.0291,0.007,0.0291
kkj_Latn,0.0388,0.0094,0.0388
nyn_Latn,0.0291,0.0131,0.0291
aoi_Latn,0.0097,0.0003,0.0097
guk_Ethi,0.0,0.0,0.0
zav_Latn,0.0194,0.0057,0.0194
mai_Deva,0.3883,0.1122,0.3883
kms_Latn,0.0485,0.0117,0.0485
bth_Latn,0.0874,0.0264,0.0874
gog_Latn,0.0485,0.0104,0.0485
ape_Latn,0.0291,0.009,0.0291
bnj_Latn,0.0194,0.004,0.0194
caa_Latn,0.0874,0.0234,0.0874
poi_Latn,0.0583,0.0154,0.0583
srq_Latn,0.1068,0.0144,0.1068
bkd_Latn,0.0583,0.0124,0.0583
ifu_Latn,0.0583,0.0131,0.0583
cbv_Latn,0.0485,0.0134,0.0485
ncl_Latn,0.0777,0.0104,0.0777
qve_Latn,0.1165,0.0308,0.1165
aeu_Latn,0.0,0.0,0.0
seh_Latn,0.0291,0.0084,0.0291
nwb_Latn,0.0,0.0,0.0
ntu_Latn,0.0097,0.0007,0.0097
sah_Cyrl,0.0291,0.0087,0.0291
wmw_Latn,0.0291,0.011,0.0291
zlm_Latn,0.7864,0.3532,0.7864
arl_Latn,0.0485,0.0067,0.0485
awb_Latn,0.0,0.0,0.0
luo_Latn,0.0485,0.0181,0.0485
bim_Latn,0.0291,0.0134,0.0291
ojb_Cans,0.0194,0.0033,0.0194
bzd_Latn,0.0291,0.01,0.0291
tel_Telu,0.2913,0.0429,0.2913
